Category,Number of Installs
ART_AND_DESIGN,114338100
AUTO_AND_VEHICLES,53130211
BEAUTY,27197050
BOOKS_AND_REFERENCE,1665969576
BUSINESS,697164865
COMICS,44981150
COMMUNICATION,11038276251
DATING,140926107
EDUCATION,352952000
ENTERTAINMENT,2113660000
EVENTS,15973161
FAMILY,4427941505
FINANCE,455348734
FOOD_AND_DRINK,211798751
GAME,13878924415
HEALTH_AND_FITNESS,1144022512
HOUSE_AND_HOME,97212461
LIBRARIES_AND_DEMO,52995910
LIFESTYLE,503823539
MAPS_AND_NAVIGATION,503281890
MEDICAL,38193177
NEWS_AND_MAGAZINES,2369217760
PARENTING,31521110
PERSONALIZATION,1532494782
PHOTOGRAPHY,4649147655
PRODUCTIVITY,5793091369
SHOPPING,1400348785
SOCIAL,5487867902
SPORTS,1096474498
TOOLS,8001772915
TRAVEL_AND_LOCAL,2894887146
VIDEO_PLAYERS,3926902720
WEATHER,361100520